Key	Type	Desc	English	Polish	German
FoodAdjectives/BrightLavaEaterMale	Text		Bright	Jasny	Heller
FoodAdjectives/BrownDuneTail	Text		Brown	Brązowe	Braunes
FoodAdjectives/BrownDuneTailFemale	Text		Brown	Brązowa	Braune
FoodAdjectives/BrownDuneTailMale	Text		Brown	Brązowy	Brauner
FoodAdjectives/Carrock	Text		Crunchy	Chrupiące	Knuspriges
FoodAdjectives/CarrockFemale	Text		Crunchy	Chrupiąca	Knusprige
FoodAdjectives/CarrockMale	Text		Crunchy	Chrupiący	Knuspriger
FoodAdjectives/CarrockRare	Text		Hard	Twarde	Hartes
FoodAdjectives/CarrockRareFemale	Text		Hard	Twarda	Harte
FoodAdjectives/CarrockRareMale	Text		Hard	Twardy	Harter
FoodAdjectives/CosmicForm	Text		Cosmic	Kosmiczne	Kosmisches
FoodAdjectives/CosmicFormFemale	Text		Cosmic	Kosmiczna	Kosmische
FoodAdjectives/CosmicFormMale	Text		Cosmic	Kosmiczny	Kosmischer
FoodAdjectives/CrownSquid	Text		Crowned	Koronowane	Gekröntes
FoodAdjectives/CrownSquidFemale	Text		Crowned	Koronowana	Gekrönte
FoodAdjectives/CrownSquidMale	Text		Crowned	Koronowany	Gekrönter
FoodAdjectives/DaggerFin	Text		Sharp	Ostre	Scharfes
FoodAdjectives/DaggerFinFemale	Text		Sharp	Ostra	Scharfe
FoodAdjectives/DaggerFinMale	Text		Sharp	Ostry	Scharfer
FoodAdjectives/DarkLavaEater	Text		Dark	Ciemne	Dunkles
FoodAdjectives/DarkLavaEaterFemale	Text		Dark	Ciemna	Dunkle
FoodAdjectives/DarkLavaEaterMale	Text		Dark	Ciemny	Dunkler
FoodAdjectives/Deepstalker	Text		Glistening	Lśniące	Glimmerndes
FoodAdjectives/DeepstalkerFemale	Text		Glistening	Lśniąca	Glimmernde
FoodAdjectives/DeepstalkerMale	Text		Glistening	Lśniący	Glimmernder
FoodAdjectives/DevilWorm	Text		Devilish	Diabelskie	Teuflisches
FoodAdjectives/DevilWormFemale	Text		Devilish	Diabelska	Teuflische
FoodAdjectives/DevilWormMale	Text		Devilish	Diabelski	Teuflischer
FoodAdjectives/Egg	Text	 [new]	Yummy	Pyszne	Leckeres
FoodAdjectives/EggFemale	Text	 [new]	Yummy	Pyszna	Leckere
FoodAdjectives/EggMale	Text	 [new]	Yummy	Pyszny	Leckerer
FoodAdjectives/ElderDragonfish	Text		Elder	Starsze	Älteres
FoodAdjectives/ElderDragonfishFemale	Text		Elder	Starsza	Ältere
FoodAdjectives/ElderDragonfishMale	Text		Elder	Starszy	Älterer
FoodAdjectives/EmeraldFeatherFish	Text		Emerald	Szmaragdowe	Smaragdgrünes
FoodAdjectives/EmeraldFeatherFishFemale	Text		Emerald	Szmaragdowa	Smaragdgrüne
FoodAdjectives/EmeraldFeatherFishMale	Text		Emerald	Szmaragdowy	Smaragdgrüner
FoodAdjectives/GemCrab	Text		Glimmering	Mieniące się	Schimmerndes
FoodAdjectives/GemCrabFemale	Text		Glimmering	Mieniąca się	Schimmernde
FoodAdjectives/GemCrabMale	Text		Glimmering	Mieniący się	Schimmernder
FoodAdjectives/GiantMushroom	Text		Giant	Olbrzymie	Riesiges
FoodAdjectives/GiantMushroomFemale	Text		Giant	Olbrzymia	Riesige
FoodAdjectives/GiantMushroomMale	Text		Giant	Olbrzymi	Riesiger
FoodAdjectives/GlowingTulipFlower	Text		Glowing	Świecące	Leuchtendes
FoodAdjectives/GlowingTulipFlowerFemale	Text		Glowing	Świecąca	Leuchtende
FoodAdjectives/GlowingTulipFlowerMale	Text		Glowing	Świecący	Leuchtender
FoodAdjectives/GlowingTulipFlowerRare	Text		Shining	Błyszczące	Strahlendes
FoodAdjectives/GlowingTulipFlowerRareFemale	Text		Shining	Błyszcząca	Strahlende
FoodAdjectives/GlowingTulipFlowerRareMale	Text		Shining	Błyszczący	Strahlender
FoodAdjectives/GoldenAngleFish	Text		Crystallized	Skrystalizowane	Kristallisiertes
FoodAdjectives/GoldenAngleFishFemale	Text		Crystallized	Skrystalizowana	Kristallisierte
FoodAdjectives/GoldenAngleFishMale	Text		Crystallized	Skrystalizowany	Kristallisierter
FoodAdjectives/GoldenDeepstalker	Text		Splendid	Wspaniałe	Prächtiges
FoodAdjectives/GoldenDeepstalkerFemale	Text		Splendid	Wspaniała	Prächtige
FoodAdjectives/GoldenDeepstalkerMale	Text		Splendid	Wspaniały	Prächtiger
FoodAdjectives/GoldenLarvaMeat	Text		Shiny	Błyszczące	Glänzendes
FoodAdjectives/GoldenLarvaMeatFemale	Text		Shiny	Błyszcząca	Glänzende
FoodAdjectives/GoldenLarvaMeatMale	Text		Shiny	Błyszczący	Glänzender
FoodAdjectives/GoldenTorrentDart	Text		Golden	Złote	Goldenes
FoodAdjectives/GoldenTorrentDartFemale	Text		Golden	Złota	Goldene
FoodAdjectives/GoldenTorrentDartMale	Text		Golden	Złoty	Goldener
FoodAdjectives/GreenBlisterHead	Text		Green	Zielone	Grünes
FoodAdjectives/GreenBlisterHeadFemale	Text		Green	Zielona	Grüne
FoodAdjectives/GreenBlisterHeadMale	Text		Green	Zielony	Grüner
FoodAdjectives/GreenhornPico	Text	 [new]	Sticky	Lepki	Klebriger
FoodAdjectives/GreyDuneTail	Text		Grey	Szare	Graues
FoodAdjectives/GreyDuneTailFemale	Text		Grey	Szara	Graue
FoodAdjectives/GreyDuneTailMale	Text		Grey	Szary	Grauer
FoodAdjectives/Grumpkin	Text		Lumpy	Guzowate	Knolliges
FoodAdjectives/GrumpkinFemale	Text		Lumpy	Guzowata	Knollige
FoodAdjectives/GrumpkinMale	Text		Lumpy	Guzowaty	Knolliger
FoodAdjectives/GrumpkinRare	Text		Gleaming	Lśniące	Funkelndes
FoodAdjectives/GrumpkinRareFemale	Text		Gleaming	Lśniąca	Funkelnde
FoodAdjectives/GrumpkinRareMale	Text		Gleaming	Lśniący	Funkelnder
FoodAdjectives/HeartBerry	Text		Hearty	Obfite	Süßes
FoodAdjectives/HeartBerryFemale	Text		Hearty	Obfita	Süße
FoodAdjectives/HeartBerryMale	Text		Hearty	Obfity	Süßer
FoodAdjectives/HeartBerryRare	Text		Delightful	Zachwycające	Köstliches
FoodAdjectives/HeartBerryRareFemale	Text		Delightful	Zachwycająca	Köstliche
FoodAdjectives/HeartBerryRareMale	Text		Delightful	Zachwycający	Köstlicher
FoodAdjectives/LarvaMeat	Text		Gooey	Gęste	Klebriges
FoodAdjectives/LarvaMeatFemale	Text		Gooey	Gęsta	Klebrige
FoodAdjectives/LarvaMeatMale	Text		Gooey	Gęsty	Klebriger
FoodAdjectives/LithoTrilobite	Text	 [new]	Brittle	Kruchy	Brüchiger
FoodAdjectives/Lunacorn	Text		Iridescent	Opalizujące	Schillerndes
FoodAdjectives/LunacornFemale	Text		Iridescent	Opalizująca	Schillernde
FoodAdjectives/LunacornMale	Text		Iridescent	Opalizujący	Schillernder
FoodAdjectives/LunacornRare	Text		Brilliant	Genialne	Brillantes
FoodAdjectives/LunacornRareFemale	Text		Brilliant	Genialna	Brillante
FoodAdjectives/LunacornRareMale	Text		Brilliant	Genialny	Brillanter
FoodAdjectives/Meat	Text		Tender	Miękkie	Zartes
FoodAdjectives/MeatFemale	Text		Tender	Miękka	Zarte
FoodAdjectives/MeatMale	Text		Tender	Miękki 	Zarter
FoodAdjectives/MoldShark	Text		Moldy	Spleśniałe	Schimmliges
FoodAdjectives/MoldSharkFemale	Text		Moldy	Spleśniała	Schimmlige
FoodAdjectives/MoldSharkMale	Text		Moldy	Spleśniały	Schimmliger
FoodAdjectives/Mushroom	Text		Mushy	Mięsiste	Pilziges
FoodAdjectives/MushroomFemale	Text		Mushy	Mięsista	Pilzige
FoodAdjectives/MushroomMale	Text		Mushy	Mięsisty	Pilziger
FoodAdjectives/OrangeCaveGuppy	Text		Orange	Pomarańczowe	Oranges
FoodAdjectives/OrangeCaveGuppyFemale	Text		Orange	Pomarańczowa	Orange
FoodAdjectives/OrangeCaveGuppyMale	Text		Orange	Pomarańczowy	Oranger
FoodAdjectives/Pewpaya	Text		Juicy	Soczyste	Saftiges
FoodAdjectives/PewpayaFemale	Text		Juicy	Soczysta	Saftige
FoodAdjectives/PewpayaMale	Text		Juicy	Soczysty	Saftiger
FoodAdjectives/PewpayaRare	Text		Luscious	Soczyste	Frisches
FoodAdjectives/PewpayaRareFemale	Text		Luscious	Soczysta	Frische
FoodAdjectives/PewpayaRareMale	Text		Luscious	Soczysty	Frischer
FoodAdjectives/Pinegrapple	Text		Sweet	Słodkie	Süßes
FoodAdjectives/PinegrappleFemale	Text		Sweet	Słodka	Süße
FoodAdjectives/PinegrappleMale	Text		Sweet	Słodki	Süßer
FoodAdjectives/PinegrappleRare	Text		Succulent	Soczyste	Sukkulentes
FoodAdjectives/PinegrappleRareFemale	Text		Succulent	Soczysta	Sukkulente
FoodAdjectives/PinegrappleRareMale	Text		Succulent	Soczysty	Sukkulenter
FoodAdjectives/PinkCoralotl	Text		Coral Red	Koralowo czerwone	Korallenrotes
FoodAdjectives/PinkCoralotlFemale	Text		Coral Red	Koralowo czerwona	Korallenrote
FoodAdjectives/PinkCoralotlMale	Text		Coral Red	Koralowo czerwony	Korallenroter
FoodAdjectives/PinkPalaceFish	Text		Pink	Różowe	Pinkes
FoodAdjectives/PinkPalaceFishFemale	Text		Pink	Różowa	Pinke
FoodAdjectives/PinkPalaceFishMale	Text		Pink	Różowy	Pinker
FoodAdjectives/PinkhornPico	Text	 [new]	Goopy	Lepki	Glibberiger
FoodAdjectives/Puffungi	Text		Puffy	Puchate	Puffiges
FoodAdjectives/PuffungiFemale	Text		Puffy	Puchata	Puffige
FoodAdjectives/PuffungiMale	Text		Puffy	Puchaty	Puffiger
FoodAdjectives/PuffungiRare	Text		Musty	Stęchłe	Muffiges
FoodAdjectives/PuffungiRareFemale	Text		Musty	Stęchła	Muffige
FoodAdjectives/PuffungiRareMale	Text		Musty	Stęchły	Muffiger
FoodAdjectives/RiftianLampfish	Text	 [new]	Abyssal	Głębinowa	Abgründiger
FoodAdjectives/RockJaw	Text		Rocky	Skaliste	Steiniges
FoodAdjectives/RockJawFemale	Text		Rocky	Skalista	Steinige
FoodAdjectives/RockJawMale	Text		Rocky	Skalisty	Steiniger
FoodAdjectives/RotFish	Text		Rotten	Zgniłe	Verrottetes
FoodAdjectives/RotFishFemale	Text		Rotten	Zgniła	Verrottete
FoodAdjectives/RotFishMale	Text		Rotten	Zgniły	Verrotteter
FoodAdjectives/SandySpikeback	Text		Sandy	Piaszczyste	Sandiges
FoodAdjectives/SandySpikebackFemale	Text		Sandy	Piaszczysta	Sandige
FoodAdjectives/SandySpikebackMale	Text		Sandy	Piaszczysty	Sandiger
FoodAdjectives/SilverTorrentDart	Text		Silver	Srebrne	Silbernes
FoodAdjectives/SilverTorrentDartFemale	Text		Silver	Srebrna	Silberne
FoodAdjectives/SilverTorrentDartMale	Text		Silver	Srebrny	Silberner
FoodAdjectives/SolidSpikeback	Text		Solid	Solidne	Solides
FoodAdjectives/SolidSpikebackFemale	Text		Solid	Solidna	Solide
FoodAdjectives/SolidSpikebackMale	Text		Solid	Solidny	Solider
FoodAdjectives/SpiritVeil	Text		Spiritual	Duchowe	Spirituelles
FoodAdjectives/SpiritVeilFemale	Text		Spiritual	Duchowa	Spirituelle
FoodAdjectives/SpiritVeilMale	Text		Spiritual	Duchowy	Spiritueller
FoodAdjectives/StarlightNautilus	Text		Sparkling	Musujące	Glitzerndes
FoodAdjectives/StarlightNautilusFemale	Text		Sparkling	Musująca	Glitzernde
FoodAdjectives/StarlightNautilusMale	Text		Sparkling	Musujący	Glitzernder
FoodAdjectives/Sunrice	Text		Radiant	Promienne	Strahlendes
FoodAdjectives/SunriceFemale	Text		Radiant	Promienna	Strahlende
FoodAdjectives/SunriceMale	Text		Radiant	Promienny	Strahlender
FoodAdjectives/SunriceRare	Text		Dazzling	Olśniewające	Blendendes
FoodAdjectives/SunriceRareFemale	Text		Dazzling	Olśniewająca	Blendende
FoodAdjectives/SunriceRareMale	Text		Dazzling	Olśniewający	Blendender
FoodAdjectives/TealPalaceFish	Text		Teal	Turkusowe	Türkises
FoodAdjectives/TealPalaceFishFemale	Text		Teal	Turkusowa	Türkise
FoodAdjectives/TealPalaceFishMale	Text		Teal	Turkusowy	Türkiser
FoodAdjectives/TerraTrilobite	Text	 [new]	Porous	Porowata	Poröser
FoodAdjectives/TornisKingfish	Text		Royal	Królewskie	Königliches
FoodAdjectives/TornisKingfishFemale	Text		Royal	Królewska	Königliche
FoodAdjectives/TornisKingfishMale	Text		Royal	Królewski	Königlicher
FoodAdjectives/VampireEel	Text		Vampiristic	Wampiryczne	Vampirisches
FoodAdjectives/VampireEelFemale	Text		Vampiristic	Wampiryczna	Vampirische
FoodAdjectives/VampireEelMale	Text		Vampiristic	Wampiryczny	Vampirischer
FoodAdjectives/VerdantDragonfish	Text		Verdant	Zielone	Sattgrünes
FoodAdjectives/VerdantDragonfishFemale	Text		Verdant	Zielona	Sattgrüne
FoodAdjectives/VerdantDragonfishMale	Text		Verdant	Zielony	Sattgrüner
FoodAdjectives/WhiteCoralotl	Text		White	Białe	Weißes
FoodAdjectives/WhiteCoralotlFemale	Text		White	Biała	Weiße
FoodAdjectives/WhiteCoralotlMale	Text		White	Biały	Weißer
FoodAdjectives/YellowBlisterHead	Text		Yellow	Żółte	Gelbes
FoodAdjectives/YellowBlisterHeadFemale	Text		Yellow	Żółta	Gelbe
FoodAdjectives/YellowBlisterHeadMale	Text		Yellow	Żółty	Gelber
FoodNouns/AmberLarva	Text		Amber	Bursztyn	Bernstein
FoodNouns/AngleFish	Text		Crystal	Kryształ	Kristall
FoodNouns/AstralJelly	Text		Jelly	Galaretka	Quallen
FoodNouns/AtlantianWormHeart	Text		Giant	Olbrzymie	Giganten
FoodNouns/AzureFeatherFish	Text		Feather	Pióro	Feder
FoodNouns/BlackSteelUrchin	Text		Urchin	Jeżowiec	Seeigel
FoodNouns/BloatOat	Text		Oat	Owies	Hafer
FoodNouns/BloatOatRare	Text		Goldoat	Złoty owies	Goldhafer
FoodNouns/BlueCaveGuppy	Text		Guppy	Gupik	Guppy
FoodNouns/BombPepper	Text		Pepper	Pieprz	Pfeffer
FoodNouns/BombPepperRare	Text		Goldpepper	Złoty pieprz	Goldpfeffer
FoodNouns/BottomTracer	Text		Barbel	Sztanga	Bartel
FoodNouns/BrightLavaEater	Text		Lava	Lawa	Lava
FoodNouns/BrownDuneTail	Text		Dune	Wydma	Dünen
FoodNouns/Carrock	Text		Stone	Kamień	Stein
FoodNouns/CarrockRare	Text		Goldstone	Złoty kamień	Goldstein
FoodNouns/CosmicForm	Text		Cosmos	Kosmos	Kosmos
FoodNouns/CrownSquid	Text		Squid	Kałamarnica	Tintenfisch
FoodNouns/DaggerFin	Text		Fin	Płetwa	Flossen
FoodNouns/DarkLavaEater	Text		Lava	Lawa	Lava
FoodNouns/Deepstalker	Text		Hunter	Łowca	Jäger
FoodNouns/DevilWorm	Text		Worm	Robak	Wurm
FoodNouns/Egg	Text	 [new]	Cream	Kremowe	Creme
FoodNouns/ElderDragonfish	Text		Dragon	Smok	Drachen
FoodNouns/EmeraldFeatherFish	Text		Feather	Pióro	Feder
FoodNouns/GemCrab	Text		Crab	Krab	Krabben
FoodNouns/GiantMushroom	Text		Mushroom	Grzyb	Pilz
FoodNouns/GlowingTulipFlower	Text		Tulip	Tulipan	Tulpen
FoodNouns/GlowingTulipFlowerRare	Text		Goldtulip	Złoty tulipan	Goldtulpen
FoodNouns/GoldenAngleFish	Text		Crystal	Kryształ	Kristall
FoodNouns/GoldenDeepstalker	Text		Hunter	Łowca	Jäger
FoodNouns/GoldenLarvaMeat	Text		Gold	Złoto	Gold
FoodNouns/GoldenTorrentDart	Text		Dart	Strzałka	Pfeil
FoodNouns/GreenBlisterHead	Text		Blister	Blister	Blasen
FoodNouns/GreenhornPico	Text	 [new]	Goop	Papka	Glibber
FoodNouns/GreyDuneTail	Text		Dune	Wydma	Dünen
FoodNouns/Grumpkin	Text		Lump	Kępa	Knollen
FoodNouns/GrumpkinRare	Text		Goldlump	Złota kępa	Goldknollen
FoodNouns/HeartBerry	Text		Berry	Jagoda	Beeren
FoodNouns/HeartBerryRare	Text		Goldberry	Złota jagoda	Goldbeeren
FoodNouns/LarvaMeat	Text		Meat	Mięso	Fleisch
FoodNouns/LithoTrilobite	Text	 [new]	Fossil	Skamieniałe 	Fossil
FoodNouns/Lunacorn	Text		Moon	Księżyc	Mond
FoodNouns/LunacornRare	Text		Goldmoon	Złoty księżyc	Goldmond
FoodNouns/Meat	Text		Meat	Mięso	Fleisch
FoodNouns/MoldShark	Text		Shark	Rekin	Hai
FoodNouns/Mushroom	Text		Mushroom	Grzyb	Pilz
FoodNouns/OrangeCaveGuppy	Text		Guppy	Gupik	Guppy
FoodNouns/Pewpaya	Text		Fruit	Owoc	Frucht
FoodNouns/PewpayaRare	Text		Goldfruit	Złoty owoc	Goldfrucht
FoodNouns/Pinegrapple	Text		Tropics	Owoc tropikalny	Tropen
FoodNouns/PinegrappleRare	Text		Goldtropics	Złote owoc tropikalny	Goldtropen
FoodNouns/PinkCoralotl	Text		Coral	Koral	Korallen
FoodNouns/PinkPalaceFish	Text		Palace	Pałac	Palast
FoodNouns/PinkhornPico	Text	 [new]	Goop	Papka	Glibber
FoodNouns/Puffungi	Text		Mold	Pleśń	Schimmel
FoodNouns/PuffungiRare	Text		Goldmold	Złota pleśń	Goldschimmel
FoodNouns/RiftianLampfish	Text	 [new]	Rift	Wyrwa	Riss
FoodNouns/RockJaw	Text		Jaw	Szczęka	Kiefer
FoodNouns/RotFish	Text		Decay	Rozpad	Verfall
FoodNouns/SandySpikeback	Text		Spike	Kolec	Stachel
FoodNouns/SilverTorrentDart	Text		Dart	Strzałka	Pfeil
FoodNouns/SolidSpikeback	Text		Spike	Kolec	Stachel
FoodNouns/SpiritVeil	Text		Veil	Zasłona	Schleier
FoodNouns/StarlightNautilus	Text		Starlight	Światło gwiazd	Sternlicht
FoodNouns/Sunrice	Text		Sun	Słońce	Sonnen
FoodNouns/SunriceRare	Text		Goldsun	Złote Słońce	Goldsonnen
FoodNouns/TealPalaceFish	Text		Palace	Pałac	Palast
FoodNouns/TerraTrilobite	Text	 [new]	Fossil	Skamieniałe 	Fossil
FoodNouns/TornisKingfish	Text		King	Król	König
FoodNouns/VampireEel	Text		Eel	Węgorz	Aal
FoodNouns/VerdantDragonfish	Text		Dragon	Smok	Drachen
FoodNouns/WhiteCoralotl	Text		Coral	Koral	Korallen
FoodNouns/YellowBlisterHead	Text		Blister	Pęcherz	Blasen
FoodTypes/Fish	Text		Fish	Ryba	Fisch
FoodTypes/Meat	Text		Other	Inne	Andere
FoodTypes/Plant	Text		Plant	Roślina	Pflanze
HardMode	Text		Hard	Trudny	Schwer
HardModeDesc	Text		Tackle tougher monsters and reap greater rewards.	Zmierz się z trudniejszymi potworami i zgarnij większe nagrody.	Nimm es mit härteren Monstern auf und ernte größere Belohnungen.
HelmVanitySlot	Text		Helm vanity slot	Okno wyglądu hełmu	Helm-Eitelkeit-Slot
Intro/Slide1	Text		In a place far away from anywhere else.	W miejscu oddalonym od reszty świata.	An einem Ort mitten im Nirgendwo.
Intro/Slide2	Text		You are part of a group of explorers, making your way through the forest.	Jesteś częścią grupy odkrywców, którzy przedzierają się przez las.	Du gehörst zu einer Gruppe von Forschern, die sich ihren Weg durch den Wald bahnen.
Intro/Slide3	Text		Feeling a strange presence,* you notice something between the trees.	Czując dziwną obecność, * zauważasz coś między drzewami.	Als du eine seltsame Präsenz fühlst*, bemerkst du etwas zwischen den Bäumen.
Intro/Slide4	Text		Drawn to it,* you approach this strange relic and raise a hand towards it.	Przyciągnięty do tego,* podchodzisz do tego dziwnego reliktu i wyciągasz rękę w jego kierunku.	Davon angezogen* näherst du dich diesem seltsamen Relikt und erhebst eine Hand.
Intro/Slide5	Text		Upon touching its surface, a blinding light engulfs you.	Po dotknięciu jego powierzchni ogarnia cię oślepiające światło.	Als du seine Oberfläche berührst, wirst du von einem blendenden Licht umschlossen.
ItemCategory/Building	Text		Building	Budynek	Gebäude
ItemCategory/Building_BaseBuilding	Text		Base building	Podstawy budynku	Basisbau
ItemCategory/Building_Chest	Text		Chest	Skrzynie	Kiste
ItemCategory/Building_FunctionalBuilding	Text		Functional building	Funkcjonalne	Funktionales Gebäude
ItemCategory/Building_MerchantItem	Text		Merchant item	Przedmiot sprzedawcy	Händler-Gegenstand
ItemCategory/Building_Object	Text		Object	Obiekty	Objekt
ItemCategory/Consumable	Text		Consumable	Zużywalne	Verbrauchsgut
ItemCategory/Consumable_Fish	Text		Fish	Ryby	Fisch
ItemCategory/Consumable_Food	Text		Snacks	Przekąski	Snacks
ItemCategory/Consumable_Ingredient	Text		Ingredient	Składniki	Zutat
ItemCategory/Consumable_PetCandy	Text		Pet candy	Słodycze dla zwierząt	Leckerli
ItemCategory/Consumable_Potion	Text		Potion	Mikstury	Trank
ItemCategory/Creature	Text		Creature	Stwór	Kreatur
ItemCategory/Creature_Cattle	Text		Cattle	Zwierzę	Nutztier
ItemCategory/Creature_Critter	Text		Critter	Stworzenia	Kriechtier
ItemCategory/Creature_Enemy	Text		Enemy	Wrogowie	Feind
ItemCategory/Creature_Merchant	Text		Merchant	Handlarz	Händler
ItemCategory/Creature_Pet	Text		Pet	Zwierzaki	Haustier
ItemCategory/Environment	Text		Environment	Środowiskowe	Umgebung
ItemCategory/Environment_Block	Text	 [new]	Block	Blok	Block
ItemCategory/Environment_CityBiome	Text		City biome	Biom miejski	Stadt-Biom
ItemCategory/Environment_ClayBiome	Text		Clay biome	Biom gliniasty	Lehm-Biom
ItemCategory/Environment_CrystalBiome	Text		Crystal biome	Biom kryształowy	Kristall-Biom
ItemCategory/Environment_DesertBiome	Text		Desert biome	Biom pustynny	Wüsten-Biom
ItemCategory/Environment_DirtBiome	Text		Dirt biome	Biom ziemi	Erd-Biom
ItemCategory/Environment_Ground	Text		Ground	Grunt	Boden
ItemCategory/Environment_LavaBiome	Text		Lava biome	Biom lawy	Lava-Biom
ItemCategory/Environment_MeadowBiome	Text		Meadow biome	Biom łąki	Wiesen-Biom
ItemCategory/Environment_MoldBiome	Text		Mold biome	Biom pleśni	Schimmel-Biom
ItemCategory/Environment_NatureBiome	Text		Nature biome	Biom naturalny	Natur-Biom
